original_file,output_file,n_points,start_X_cm,start_Y_cm,end_X_cm,end_Y_cm,dist_to_goal_cm,success,duration_s
16-10-50-14.csv,16-10-50-14_rot12_shift10.csv,5887,5.172885824079824,6.854229011166788,20.810245862616288,17.372447252405617,65.05247535358815,False,196.2
16-10-54-48.csv,16-10-54-48_rot12_shift10.csv,5497,9.314863996540318,7.543579613331557,6.974711902198068,4.556529266842819,83.35786175203937,False,183.2
16-11-00-23.csv,16-11-00-23_rot12_shift10.csv,3680,12.245680043622468,9.003623978471213,56.51632536848557,67.44753625535196,5.74703390723472,True,122.633
16-15-06-47.csv,16-15-06-47_rot12_shift10.csv,6026,10.572541239597825,9.109299584212014,53.24480377557304,1.845723478103439,71.06917621656895,False,200.833
16-15-13-00.csv,16-15-13-00_rot12_shift10.csv,3219,6.957658253205871,8.419560699742615,59.51888712250145,69.1392387680241,6.112691562915896,True,107.267
16-15-19-11.csv,16-15-19-11_rot12_shift10.csv,620,8.068479313638926,12.557766343195317,-0.8774585284660334,37.85501122910796,65.70392023643119,False,20.633
16-15-21-17.csv,16-15-21-17_rot12_shift10.csv,2869,4.787786435050373,9.089082047373903,47.596748289500056,62.98855009140092,12.193974911955056,False,95.6
16-15-25-23.csv,16-15-25-23_rot12_shift10.csv,1150,9.3829529590634,14.028093524193633,56.544313155007934,68.60173720840396,4.6772378643120485,True,38.3
16-15-26-37.csv,16-15-26-37_rot12_shift10.csv,5389,10.251843712645922,12.67692030682819,16.63789625371181,61.028188940512486,39.870586143488985,False,179.6
16-16-18-15.csv,16-16-18-15_rot12_shift10.csv,2174,10.681423912730141,14.335337396012369,4.420157612199705,40.888677901309656,59.60526229325848,False,72.433
16-16-30-41.csv,16-16-30-41_rot12_shift10.csv,1918,10.152685515083816,12.573016519543701,56.11877067537306,-0.524582711741914,73.43828876425927,False,63.9
16-16-43-47.csv,16-16-43-47_rot12_shift10.csv,5470,10.173082370388432,11.943778470012843,13.427741219926238,44.10027427857666,50.32716509439598,False,182.3
16-16-47-49.csv,16-16-47-49_rot12_shift10.csv,5530,11.662965444726265,13.876743277195574,3.4991442370851105,18.64834361382716,74.59738501782877,False,184.3
16-16-52-12.csv,16-16-52-12_rot12_shift10.csv,5400,12.967398646525801,13.849438466532218,42.90402651113185,2.3881650093455296,71.49170486356697,False,179.967
16-17-03-21.csv,16-17-03-21_rot12_shift10.csv,2565,11.177530868595408,11.230354299580608,53.342144481222846,70.09733293590715,3.1142758840578764,True,85.467
16-17-43-35.csv,16-17-43-35_rot12_shift10.csv,5596,11.38943363255716,8.836979132987759,49.80482825363632,7.823953052915833,65.25990034228906,False,186.5
16-17-48-10.csv,16-17-48-10_rot12_shift10.csv,5495,10.450792742369178,12.10304027189538,30.41281181821951,6.738840276875148,70.47812827882177,False,183.13400000000001
16-17-51-51.csv,16-17-51-51_rot12_shift10.csv,3217,10.71073261084716,10.736642783321978,7.78783756683572,7.474037219649036,80.50656861332162,False,107.2
16-17-54-56.csv,16-17-54-56_rot12_shift10.csv,5392,12.61424587190033,11.034195734548593,18.437356074474927,55.30585121368734,40.30550106355618,False,179.7
16-17-59-38.csv,16-17-59-38_rot12_shift10.csv,3179,12.125939091458976,13.829593865026684,15.477006893469056,59.65928717404817,41.39758041690722,False,105.933
16-18-06-39.csv,16-18-06-39_rot12_shift10.csv,2156,12.65215839281485,13.249640486931233,55.148476447599876,67.36250677698163,5.55562438606375,True,71.833
16-18-11-04.csv,16-18-11-04_rot12_shift10.csv,5397,12.223768808252643,11.23422594881291,49.55624558295067,5.636648550941672,67.45974101389993,False,179.867
16-18-15-13.csv,16-18-15-13_rot12_shift10.csv,5347,16.061650171850662,12.993032650052019,9.752803767933345,4.974262072843461,81.45033039879372,False,178.2
16-18-19-46.csv,16-18-19-46_rot12_shift10.csv,5375,10.600144092791307,9.706913320846054,3.5083467067711234,3.983540491959292,85.84907546396505,False,179.13400000000001
16-18-34-32.csv,16-18-34-32_rot12_shift10.csv,5399,9.849342702214184,15.600790315843524,3.797229269597221,9.361671799163918,81.41382694965955,False,179.933
