trial_id,PEI,D_straight_cm,D_actual_cm
1,0.264711455550172,68.35473648548431,258.2235677840875
2,0.42717777460903206,82.61797625214503,193.4042011613546
3,0.22212831915444506,80.76515337693601,363.59683305747376
4,0.4037401224404411,75.83093036485838,187.82114075383925
5,0.3202558865770492,77.74348847331203,242.75428409528394
6,0.3750093541585316,71.50174823037547,190.6665725467445
7,0.3096056496203385,69.63799250409218,224.92481190019456
8,0.5391434624790433,77.1233427698774,143.04790494028333
9,0.27748444635610625,80.82233602167163,291.2679866674375
10,0.3202893692531177,78.45591118583737,244.95321642672246
11,0.2852086645155816,78.5834588192706,275.5297036741232
12,0.39477256655453186,82.20973178401691,208.24580720367985
13,0.38032009811316436,79.56946650568923,209.21709607366927
14,0.3762151176856612,81.85871975544207,217.58487606507467
15,0.46740703449979537,82.64048644580936,176.80625310709897
16,0.4051871137098873,84.34654705439932,208.16690413010318
17,0.3168376229783564,77.13786359499464,243.46181766508215
18,0.5955770765942258,82.43591450332798,138.41351143790348
19,0.6814388290812782,69.55055715089564,102.06427074997225
20,0.38965167059680317,75.66254026927724,194.1799457792393
21,0.3001004971683033,83.81652581681014,279.29485824811513
22,0.6172386017165177,80.89523348133683,131.05990658453666
23,0.6356858114686452,77.12016597492513,121.31805458541217
24,0.19181269779167123,81.87917928264791,426.8704847245166
25,0.2410849326612074,79.9784971101608,331.7440713831471
